id,hospital_id,branch_name,branch_code,address,city,contact_phone,contact_email,manager_name,total_doctors,status,latitude,longitude
32,10,ApolloCare Peelamedu Medical Center - Peelamedu Branch,H010-B02,Peelamedu  Coimbatore,Coimbatore,9659994973,,Manoj Singh,3,INACTIVE,,
33,11,HealWell Vyttila Speciality Clinic - Vyttila Branch,H011-B01,Vyttila  Kochi,Kochi,9867076604,,Divya Nair,5,ACTIVE,,
34,11,HealWell Vyttila Speciality Clinic - Aluva Branch,H011-B02,Aluva  Kochi,Kochi,8931647725,,Priya Menon,2,INACTIVE,,
35,12,MotionCare Navrangpura Speciality Clinic - Maninagar Branch,H012-B01,Maninagar  Ahmedabad,Ahmedabad,9457988942,,Vikram Rao,4,ACTIVE,,
36,12,MotionCare Navrangpura Speciality Clinic - Navrangpura Branch,H012-B02,Navrangpura  Ahmedabad,Ahmedabad,7253892187,,Manoj Singh,4,ACTIVE,,
37,13,ApolloCare Navi Mumbai Speciality Clinic - Navi Mumbai Branch,H013-B01,Navi Mumbai  Mumbai,Mumbai,9066643749,,Vikram Rao,2,ACTIVE,,
38,13,ApolloCare Navi Mumbai Speciality Clinic - Powai Branch,H013-B02,Powai  Mumbai,Mumbai,9480752034,,Vikram Rao,4,ACTIVE,,
39,13,ApolloCare Navi Mumbai Speciality Clinic - Andheri Branch,H013-B03,Andheri  Mumbai,Mumbai,7339439457,,Rajesh Kumar,2,ACTIVE,,
40,13,ApolloCare Navi Mumbai Speciality Clinic - Borivali Branch,H013-B04,Borivali  Mumbai,Mumbai,7145768321,,Amit Patel,2,ACTIVE,,
41,14,Medicare Malviya Nagar Healthcare Hub - Mansarovar Branch,H014-B01,Mansarovar  Jaipur,Jaipur,9769899927,,Vikram Rao,4,ACTIVE,,
42,14,Medicare Malviya Nagar Healthcare Hub - C Scheme Branch,H014-B02,C Scheme  Jaipur,Jaipur,7627924632,,Neha Sharma,2,ACTIVE,,
43,14,Medicare Malviya Nagar Healthcare Hub - Tonk Road Branch,H014-B03,Tonk Road  Jaipur,Jaipur,9194217942,,Vikram Rao,2,INACTIVE,,
44,14,Medicare Malviya Nagar Healthcare Hub - Malviya Nagar Branch,H014-B04,Malviya Nagar  Jaipur,Jaipur,9534864010,,Ritika Jain,4,ACTIVE,,
45,15,OrthoLife Koramangala Hospital - HSR Layout Branch,H015-B01,HSR Layout  Bengaluru,Bengaluru,7651189394,,Rajesh Kumar,2,ACTIVE,,
46,15,OrthoLife Koramangala Hospital - Koramangala Branch,H015-B02,Koramangala  Bengaluru,Bengaluru,8429608070,,Divya Nair,5,ACTIVE,,
47,16,SpinePlus Peelamedu Medical Center - Gandhipuram Branch,H016-B01,Gandhipuram  Coimbatore,Coimbatore,9714692182,,Rajesh Kumar,2,ACTIVE,,
48,16,SpinePlus Peelamedu Medical Center - Peelamedu Branch,H016-B02,Peelamedu  Coimbatore,Coimbatore,8232894633,,Divya Nair,2,INACTIVE,,
49,16,SpinePlus Peelamedu Medical Center - Saibaba Colony Branch,H016-B03,Saibaba Colony  Coimbatore,Coimbatore,9517152391,,Priya Menon,2,INACTIVE,,
50,17,SpinePlus Kakkanad Hospital - Marine Drive Branch,H017-B01,Marine Drive  Kochi,Kochi,8095229462,,Manoj Singh,2,ACTIVE,,
51,17,SpinePlus Kakkanad Hospital - Vyttila Branch,H017-B02,Vyttila  Kochi,Kochi,7389949919,,Divya Nair,5,ACTIVE,,
52,17,SpinePlus Kakkanad Hospital - Marine Drive Branch,H017-B03,Marine Drive  Kochi,Kochi,9547523112,,Vikram Rao,3,ACTIVE,,
53,17,SpinePlus Kakkanad Hospital - Aluva Branch,H017-B04,Aluva  Kochi,Kochi,9319807468,,Vikram Rao,3,ACTIVE,,
54,18,Prime Rehab Navrangpura Medical Center - Satellite Branch,H018-B01,Satellite  Ahmedabad,Ahmedabad,8955156239,,Amit Patel,3,ACTIVE,,
55,18,Prime Rehab Navrangpura Medical Center - Prahlad Nagar Branch,H018-B02,Prahlad Nagar  Ahmedabad,Ahmedabad,8818970591,,Suresh Iyer,5,ACTIVE,,
56,18,Prime Rehab Navrangpura Medical Center - Maninagar Branch,H018-B03,Maninagar  Ahmedabad,Ahmedabad,8296656337,,Kavya Reddy,2,ACTIVE,,
57,18,Prime Rehab Navrangpura Medical Center - Prahlad Nagar Branch,H018-B04,Prahlad Nagar  Ahmedabad,Ahmedabad,9920457353,,Neha Sharma,3,ACTIVE,,
58,19,ARthoMove Guindy Wellness Hospital - Guindy Branch,H019-B01,Guindy  Chennai,Chennai,7030044964,,Ritika Jain,5,ACTIVE,,
59,19,ARthoMove Guindy Wellness Hospital - Adyar Branch,H019-B02,Adyar  Chennai,Chennai,9983057488,,Rajesh Kumar,3,ACTIVE,,
60,19,ARthoMove Guindy Wellness Hospital - Adyar Branch,H019-B03,Adyar  Chennai,Chennai,7338926087,,Amit Patel,3,ACTIVE,,
61,20,CarePlus Secunderabad Healthcare Hub - Gachibowli Branch,H020-B01,Gachibowli  Hyderabad,Hyderabad,7939103829,,Rajesh Kumar,5,ACTIVE,,
62,20,CarePlus Secunderabad Healthcare Hub - Gachibowli Branch,H020-B02,Gachibowli  Hyderabad,Hyderabad,7082402818,,Suresh Iyer,3,ACTIVE,,
63,20,CarePlus Secunderabad Healthcare Hub - Ameerpet Branch,H020-B03,Ameerpet  Hyderabad,Hyderabad,7590841947,,Priya Menon,4,ACTIVE,,
64,20,CarePlus Secunderabad Healthcare Hub - Banjara Hills Branch,H020-B04,Banjara Hills  Hyderabad,Hyderabad,8380274148,,Kavya Reddy,4,ACTIVE,,
65,21,Prime Rehab Malviya Nagar Healthcare Hub - C Scheme Branch,H021-B01,C Scheme  Jaipur,Jaipur,8421062941,,Vikram Rao,3,INACTIVE,,
66,21,Prime Rehab Malviya Nagar Healthcare Hub - C Scheme Branch,H021-B02,C Scheme  Jaipur,Jaipur,7643599009,,Vikram Rao,3,ACTIVE,,
67,21,Prime Rehab Malviya Nagar Healthcare Hub - Tonk Road Branch,H021-B03,Tonk Road  Jaipur,Jaipur,9662323606,,Divya Nair,5,ACTIVE,,
68,22,ApolloCare Navrangpura Rehab Institute - Bopal Branch,H022-B01,Bopal  Ahmedabad,Ahmedabad,8050281640,,Amit Patel,2,ACTIVE,,
69,22,ApolloCare Navrangpura Rehab Institute - Navrangpura Branch,H022-B02,Navrangpura  Ahmedabad,Ahmedabad,8769924277,,Neha Sharma,3,ACTIVE,,
70,23,NeuroOrtho Powai Rehab Institute - Dadar Branch,H023-B01,Dadar  Mumbai,Mumbai,8059802602,,Neha Sharma,4,INACTIVE,,
71,23,NeuroOrtho Powai Rehab Institute - Dadar Branch,H023-B02,Dadar  Mumbai,Mumbai,9956955922,,Neha Sharma,5,ACTIVE,,
72,23,NeuroOrtho Powai Rehab Institute - Navi Mumbai Branch,H023-B03,Navi Mumbai  Mumbai,Mumbai,9719670683,,Amit Patel,3,ACTIVE,,
73,24,NeuroOrtho Dwarka Healthcare Hub - Karol Bagh Branch,H024-B01,Karol Bagh  Delhi,Delhi,8527613681,,Rajesh Kumar,4,ACTIVE,,
74,24,NeuroOrtho Dwarka Healthcare Hub - Karol Bagh Branch,H024-B02,Karol Bagh  Delhi,Delhi,7828967136,,Ritika Jain,2,ACTIVE,,
75,24,NeuroOrtho Dwarka Healthcare Hub - Janakpuri Branch,H024-B03,Janakpuri  Delhi,Delhi,9716596566,,Ritika Jain,5,INACTIVE,,
76,25,CarePlus Hadapsar Wellness Hospital - Viman Nagar Branch,H025-B01,Viman Nagar  Pune,Pune,8688658348,,Priya Menon,3,ACTIVE,,
77,25,CarePlus Hadapsar Wellness Hospital - Viman Nagar Branch,H025-B02,Viman Nagar  Pune,Pune,9044318343,,Divya Nair,5,ACTIVE,,
78,25,CarePlus Hadapsar Wellness Hospital - Hadapsar Branch,H025-B03,Hadapsar  Pune,Pune,8865658189,,Priya Menon,2,ACTIVE,,
79,26,HealWell Rohini Medical Center - Rohini Branch,H026-B01,Rohini  Delhi,Delhi,9895947039,,Suresh Iyer,5,ACTIVE,,
80,26,HealWell Rohini Medical Center - Rohini Branch,H026-B02,Rohini  Delhi,Delhi,8613315553,,Priya Menon,2,ACTIVE,,
81,26,HealWell Rohini Medical Center - Lajpat Nagar Branch,H026-B03,Lajpat Nagar  Delhi,Delhi,9686562925,,Vikram Rao,3,ACTIVE,,
82,26,HealWell Rohini Medical Center - Rohini Branch,H026-B04,Rohini  Delhi,Delhi,8100115477,,Ritika Jain,3,ACTIVE,,
83,27,MotionCare Malviya Nagar Rehab Institute - Malviya Nagar Branch,H027-B01,Malviya Nagar  Jaipur,Jaipur,8735174546,,Rajesh Kumar,3,ACTIVE,,
84,27,MotionCare Malviya Nagar Rehab Institute - Tonk Road Branch,H027-B02,Tonk Road  Jaipur,Jaipur,9701501967,,Priya Menon,5,INACTIVE,,
85,27,MotionCare Malviya Nagar Rehab Institute - Mansarovar Branch,H027-B03,Mansarovar  Jaipur,Jaipur,7509656882,,Amit Patel,5,INACTIVE,,
86,27,MotionCare Malviya Nagar Rehab Institute - Tonk Road Branch,H027-B04,Tonk Road  Jaipur,Jaipur,9736556192,,Priya Menon,3,ACTIVE,,
87,28,OrthoLife Anna Nagar Rehab Institute - OMR Branch,H028-B01,OMR  Chennai,Chennai,9399799271,,Priya Menon,4,ACTIVE,,
88,28,OrthoLife Anna Nagar Rehab Institute - T Nagar Branch,H028-B02,T Nagar  Chennai,Chennai,9804466589,,Suresh Iyer,4,ACTIVE,,
89,28,OrthoLife Anna Nagar Rehab Institute - Anna Nagar Branch,H028-B03,Anna Nagar  Chennai,Chennai,8864277862,,Neha Sharma,5,ACTIVE,,
90,29,ARthoMove Malviya Nagar Medical Center - Vaishali Nagar Branch,H029-B01,Vaishali Nagar  Jaipur,Jaipur,9004364758,,Suresh Iyer,4,ACTIVE,,
91,29,ARthoMove Malviya Nagar Medical Center - C Scheme Branch,H029-B02,C Scheme  Jaipur,Jaipur,7326452573,,Ritika Jain,3,ACTIVE,,
92,29,ARthoMove Malviya Nagar Medical Center - C Scheme Branch,H029-B03,C Scheme  Jaipur,Jaipur,9380625023,,Manoj Singh,2,ACTIVE,,
93,29,ARthoMove Malviya Nagar Medical Center - Vaishali Nagar Branch,H029-B04,Vaishali Nagar  Jaipur,Jaipur,9164180446,,Amit Patel,2,ACTIVE,,
94,30,NeuroOrtho Whitefield Healthcare Hub - Hebbal Branch,H030-B01,Hebbal  Bengaluru,Bengaluru,7558774526,,Ritika Jain,3,ACTIVE,,
95,30,NeuroOrtho Whitefield Healthcare Hub - Indiranagar Branch,H030-B02,Indiranagar  Bengaluru,Bengaluru,7647904991,,Manoj Singh,4,ACTIVE,,
96,30,NeuroOrtho Whitefield Healthcare Hub - Whitefield Branch,H030-B03,Whitefield  Bengaluru,Bengaluru,9031788364,,Manoj Singh,3,ACTIVE,,
97,31,NeuroOrtho Vyttila Wellness Hospital - Aluva Branch,H031-B01,Aluva  Kochi,Kochi,8469399531,,Kavya Reddy,4,ACTIVE,,
98,31,NeuroOrtho Vyttila Wellness Hospital - Vyttila Branch,H031-B02,Vyttila  Kochi,Kochi,9280587777,,Kavya Reddy,2,ACTIVE,,
99,31,NeuroOrtho Vyttila Wellness Hospital - Vyttila Branch,H031-B03,Vyttila  Kochi,Kochi,7686708855,,Neha Sharma,2,INACTIVE,,
100,32,SpinePlus Kakkanad Hospital - Aluva Branch,H032-B01,Aluva  Kochi,Kochi,7218011308,,Priya Menon,4,ACTIVE,,
101,32,SpinePlus Kakkanad Hospital - Kakkanad Branch,H032-B02,Kakkanad  Kochi,Kochi,7041313555,,Amit Patel,5,ACTIVE,,
102,32,SpinePlus Kakkanad Hospital - Edappally Branch,H032-B03,Edappally  Kochi,Kochi,7599944261,,Priya Menon,4,ACTIVE,,
103,33,MotionCare Tonk Road Hospital - Malviya Nagar Branch,H033-B01,Malviya Nagar  Jaipur,Jaipur,7744368716,,Vikram Rao,3,INACTIVE,,
104,33,MotionCare Tonk Road Hospital - Tonk Road Branch,H033-B02,Tonk Road  Jaipur,Jaipur,9601999162,,Suresh Iyer,4,ACTIVE,,
105,34,SpinePlus Porur Speciality Clinic - Guindy Branch,H034-B01,Guindy  Chennai,Chennai,8923257273,,Suresh Iyer,4,ACTIVE,,
106,34,SpinePlus Porur Speciality Clinic - Porur Branch,H034-B02,Porur  Chennai,Chennai,7881901145,,Manoj Singh,5,ACTIVE,,
107,34,SpinePlus Porur Speciality Clinic - Guindy Branch,H034-B03,Guindy  Chennai,Chennai,8576455459,,Kavya Reddy,2,ACTIVE,,
108,34,SpinePlus Porur Speciality Clinic - OMR Branch,H034-B04,OMR  Chennai,Chennai,8527542832,,Vikram Rao,5,ACTIVE,,
109,35,MotionCare Hadapsar Wellness Hospital - Hinjewadi Branch,H035-B01,Hinjewadi  Pune,Pune,8625478009,,Ritika Jain,4,ACTIVE,,
110,35,MotionCare Hadapsar Wellness Hospital - Kothrud Branch,H035-B02,Kothrud  Pune,Pune,8630328267,,Rajesh Kumar,3,ACTIVE,,
111,36,SpinePlus Velachery Hospital - Velachery Branch,H036-B01,Velachery  Chennai,Chennai,8250507324,,Amit Patel,2,INACTIVE,,
112,36,SpinePlus Velachery Hospital - Velachery Branch,H036-B02,Velachery  Chennai,Chennai,7789885249,,Ritika Jain,2,ACTIVE,,
113,37,NeuroOrtho Singanallur Rehab Institute - Peelamedu Branch,H037-B01,Peelamedu  Coimbatore,Coimbatore,8616461526,,Priya Menon,4,ACTIVE,,
114,37,NeuroOrtho Singanallur Rehab Institute - Gandhipuram Branch,H037-B02,Gandhipuram  Coimbatore,Coimbatore,9704811353,,Rajesh Kumar,5,ACTIVE,,
115,37,NeuroOrtho Singanallur Rehab Institute - Peelamedu Branch,H037-B03,Peelamedu  Coimbatore,Coimbatore,7782546305,,Amit Patel,4,ACTIVE,,
116,37,NeuroOrtho Singanallur Rehab Institute - Singanallur Branch,H037-B04,Singanallur  Coimbatore,Coimbatore,7403883331,,Rajesh Kumar,4,ACTIVE,,
117,38,CarePlus Powai Rehab Institute - Dadar Branch,H038-B01,Dadar  Mumbai,Mumbai,9411371346,,Rajesh Kumar,3,ACTIVE,,
118,38,CarePlus Powai Rehab Institute - Powai Branch,H038-B02,Powai  Mumbai,Mumbai,7072162474,,Divya Nair,3,ACTIVE,,
119,39,ARthoMove Saibaba Colony Healthcare Hub - Gandhipuram Branch,H039-B01,Gandhipuram  Coimbatore,Coimbatore,8714057702,,Vikram Rao,4,ACTIVE,,
120,39,ARthoMove Saibaba Colony Healthcare Hub - RS Puram Branch,H039-B02,RS Puram  Coimbatore,Coimbatore,7205994476,,Manoj Singh,2,INACTIVE,,
121,39,ARthoMove Saibaba Colony Healthcare Hub - Peelamedu Branch,H039-B03,Peelamedu  Coimbatore,Coimbatore,9314594568,,Amit Patel,2,ACTIVE,,
122,39,ARthoMove Saibaba Colony Healthcare Hub - Singanallur Branch,H039-B04,Singanallur  Coimbatore,Coimbatore,8833465867,,Ritika Jain,3,ACTIVE,,
123,40,CarePlus Anna Nagar Speciality Clinic - OMR Branch,H040-B01,OMR  Chennai,Chennai,9420522589,,Suresh Iyer,5,ACTIVE,,
124,40,CarePlus Anna Nagar Speciality Clinic - Porur Branch,H040-B02,Porur  Chennai,Chennai,7824649137,,Rajesh Kumar,2,ACTIVE,,
125,40,CarePlus Anna Nagar Speciality Clinic - Guindy Branch,H040-B03,Guindy  Chennai,Chennai,8525232434,,Neha Sharma,3,ACTIVE,,
126,41,MotionCare Singanallur Hospital - Peelamedu Branch,H041-B01,Peelamedu  Coimbatore,Coimbatore,7041652726,,Rajesh Kumar,2,ACTIVE,,
127,41,MotionCare Singanallur Hospital - Peelamedu Branch,H041-B02,Peelamedu  Coimbatore,Coimbatore,8417060225,,Amit Patel,3,ACTIVE,,
128,41,MotionCare Singanallur Hospital - RS Puram Branch,H041-B03,RS Puram  Coimbatore,Coimbatore,7671603384,,Suresh Iyer,2,ACTIVE,,
129,41,MotionCare Singanallur Hospital - Saibaba Colony Branch,H041-B04,Saibaba Colony  Coimbatore,Coimbatore,8169843663,,Divya Nair,3,ACTIVE,,
130,42,SpinePlus Bopal Healthcare Hub - Maninagar Branch,H042-B01,Maninagar  Ahmedabad,Ahmedabad,9379022930,,Amit Patel,4,ACTIVE,,
131,42,SpinePlus Bopal Healthcare Hub - Navrangpura Branch,H042-B02,Navrangpura  Ahmedabad,Ahmedabad,8607456256,,Ritika Jain,5,ACTIVE,,
132,43,HealWell Powai Hospital - Navi Mumbai Branch,H043-B01,Navi Mumbai  Mumbai,Mumbai,9129835844,,Kavya Reddy,2,ACTIVE,,
133,43,HealWell Powai Hospital - Navi Mumbai Branch,H043-B02,Navi Mumbai  Mumbai,Mumbai,7307108169,,Suresh Iyer,3,ACTIVE,,
134,43,HealWell Powai Hospital - Bandra Branch,H043-B03,Bandra  Mumbai,Mumbai,8645334798,,Divya Nair,4,ACTIVE,,
135,44,ARthoMove Kukatpally Medical Center - Secunderabad Branch,H044-B01,Secunderabad  Hyderabad,Hyderabad,9350979135,,Suresh Iyer,3,ACTIVE,,
136,44,ARthoMove Kukatpally Medical Center - Secunderabad Branch,H044-B02,Secunderabad  Hyderabad,Hyderabad,8606751414,,Divya Nair,3,ACTIVE,,
137,45,HealWell Viman Nagar Wellness Hospital - Wakad Branch,H045-B01,Wakad  Pune,Pune,7449860296,,Rajesh Kumar,4,ACTIVE,,
138,45,HealWell Viman Nagar Wellness Hospital - Hadapsar Branch,H045-B02,Hadapsar  Pune,Pune,8432111549,,Rajesh Kumar,4,ACTIVE,,
139,45,HealWell Viman Nagar Wellness Hospital - Viman Nagar Branch,H045-B03,Viman Nagar  Pune,Pune,7917265134,,Suresh Iyer,3,ACTIVE,,
140,46,MotionCare Wakad Healthcare Hub - Baner Branch,H046-B01,Baner  Pune,Pune,8455797079,,Priya Menon,2,ACTIVE,,
141,46,MotionCare Wakad Healthcare Hub - Viman Nagar Branch,H046-B02,Viman Nagar  Pune,Pune,7050650696,,Ritika Jain,2,ACTIVE,,
142,46,MotionCare Wakad Healthcare Hub - Kothrud Branch,H046-B03,Kothrud  Pune,Pune,9529238352,,Neha Sharma,3,ACTIVE,,
143,47,NeuroOrtho RS Puram Wellness Hospital - Gandhipuram Branch,H047-B01,Gandhipuram  Coimbatore,Coimbatore,9651338613,,Divya Nair,5,ACTIVE,,
144,47,NeuroOrtho RS Puram Wellness Hospital - Saibaba Colony Branch,H047-B02,Saibaba Colony  Coimbatore,Coimbatore,9218216063,,Priya Menon,3,ACTIVE,,
145,48,NeuroOrtho Malviya Nagar Medical Center - Tonk Road Branch,H048-B01,Tonk Road  Jaipur,Jaipur,9660638285,,Rajesh Kumar,2,ACTIVE,,
146,48,NeuroOrtho Malviya Nagar Medical Center - Mansarovar Branch,H048-B02,Mansarovar  Jaipur,Jaipur,8834459421,,Ritika Jain,2,ACTIVE,,
147,49,NeuroOrtho Dwarka Speciality Clinic - Dwarka Branch,H049-B01,Dwarka  Delhi,Delhi,8076645362,,Priya Menon,3,ACTIVE,,
148,49,NeuroOrtho Dwarka Speciality Clinic - Karol Bagh Branch,H049-B02,Karol Bagh  Delhi,Delhi,8196034897,,Vikram Rao,3,ACTIVE,,
149,49,NeuroOrtho Dwarka Speciality Clinic - Karol Bagh Branch,H049-B03,Karol Bagh  Delhi,Delhi,9225196429,,Neha Sharma,4,ACTIVE,,
150,49,NeuroOrtho Dwarka Speciality Clinic - Lajpat Nagar Branch,H049-B04,Lajpat Nagar  Delhi,Delhi,7115685402,,Neha Sharma,5,ACTIVE,,
151,50,OrthoLife Bandra Rehab Institute - Borivali Branch,H050-B01,Borivali  Mumbai,Mumbai,9921017274,,Vikram Rao,3,ACTIVE,,
152,50,OrthoLife Bandra Rehab Institute - Powai Branch,H050-B02,Powai  Mumbai,Mumbai,8976938051,,Rajesh Kumar,4,ACTIVE,,
153,50,OrthoLife Bandra Rehab Institute - Bandra Branch,H050-B03,Bandra  Mumbai,Mumbai,8818077949,,Manoj Singh,2,ACTIVE,,
154,51,NeuroOrtho Rohini Wellness Hospital - Janakpuri Branch,H051-B01,Janakpuri  Delhi,Delhi,9649144533,,Kavya Reddy,5,ACTIVE,,
155,51,NeuroOrtho Rohini Wellness Hospital - Janakpuri Branch,H051-B02,Janakpuri  Delhi,Delhi,8455278762,,Manoj Singh,5,ACTIVE,,
156,52,OrthoLife Porur Medical Center - OMR Branch,H052-B01,OMR  Chennai,Chennai,9624088516,,Ritika Jain,3,ACTIVE,,
157,52,OrthoLife Porur Medical Center - Tambaram Branch,H052-B02,Tambaram  Chennai,Chennai,8942691548,,Suresh Iyer,5,INACTIVE,,
158,52,OrthoLife Porur Medical Center - Porur Branch,H052-B03,Porur  Chennai,Chennai,9523700877,,Priya Menon,5,ACTIVE,,
159,52,OrthoLife Porur Medical Center - OMR Branch,H052-B04,OMR  Chennai,Chennai,9617568634,,Ritika Jain,4,ACTIVE,,
160,53,Prime Rehab Wakad Hospital - Hadapsar Branch,H053-B01,Hadapsar  Pune,Pune,7669677813,,Vikram Rao,4,ACTIVE,,
161,53,Prime Rehab Wakad Hospital - Hadapsar Branch,H053-B02,Hadapsar  Pune,Pune,8828982182,,Kavya Reddy,4,ACTIVE,,
162,54,SpinePlus Saket Hospital - Saket Branch,H054-B01,Saket  Delhi,Delhi,9726558132,,Priya Menon,5,ACTIVE,,
163,54,SpinePlus Saket Hospital - Lajpat Nagar Branch,H054-B02,Lajpat Nagar  Delhi,Delhi,8901688404,,Priya Menon,5,ACTIVE,,
164,54,SpinePlus Saket Hospital - Lajpat Nagar Branch,H054-B03,Lajpat Nagar  Delhi,Delhi,9283986391,,Rajesh Kumar,2,INACTIVE,,
165,55,ARthoMove Kothrud Medical Center - Viman Nagar Branch,H055-B01,Viman Nagar  Pune,Pune,8544727879,,Vikram Rao,3,ACTIVE,,
166,55,ARthoMove Kothrud Medical Center - Kothrud Branch,H055-B02,Kothrud  Pune,Pune,9887447321,,Priya Menon,5,INACTIVE,,
167,55,ARthoMove Kothrud Medical Center - Viman Nagar Branch,H055-B03,Viman Nagar  Pune,Pune,7970126831,,Manoj Singh,4,ACTIVE,,
168,56,CarePlus Kothrud Speciality Clinic - Wakad Branch,H056-B01,Wakad  Pune,Pune,7529083116,,Neha Sharma,5,ACTIVE,,
169,56,CarePlus Kothrud Speciality Clinic - Hinjewadi Branch,H056-B02,Hinjewadi  Pune,Pune,8308788752,,Rajesh Kumar,5,ACTIVE,,
170,56,CarePlus Kothrud Speciality Clinic - Hinjewadi Branch,H056-B03,Hinjewadi  Pune,Pune,7265574744,,Neha Sharma,3,ACTIVE,,
