id,name,area,city,state,pincode,address,specialization,contact_name,contact_number,email,body_part,status,established_year,latitude,longitude
27,MotionCare Malviya Nagar Rehab Institute,Malviya Nagar,Jaipur,Rajasthan,693704,No. 132  Malviya Nagar Main Road  Jaipur  Rajasthan - 693704,Neuro Rehabilitation,Operations Desk,9335838439,info.motioncaremalviyanagarrehabinstitute@arthomove-demo.com,Back,ACTIVE,,,
28,OrthoLife Anna Nagar Rehab Institute,Anna Nagar,Chennai,Tamil Nadu,694746,No. 111  Anna Nagar Main Road  Chennai  Tamil Nadu - 694746,Pediatric Orthopedics,Care Coordinator,7289899307,info.ortholifeannanagarrehabinstitute@arthomove-demo.com,Ankle,INACTIVE,,,
29,ARthoMove Malviya Nagar Medical Center,Malviya Nagar,Jaipur,Rajasthan,670318,No. 133  Malviya Nagar Main Road  Jaipur  Rajasthan - 670318,Neuro Rehabilitation,Front Office,7678838736,info.arthomovemalviyanagarmedicalcenter@arthomove-demo.com,Knee,INACTIVE,,,
30,NeuroOrtho Whitefield Healthcare Hub,Whitefield,Bengaluru,Karnataka,688997,No. 21  Whitefield Main Road  Bengaluru  Karnataka - 688997,Shoulder & Knee Rehab,Help Desk,9009624265,info.neuroorthowhitefieldhealthcarehub@arthomove-demo.com,Wrist,ACTIVE,,,
31,NeuroOrtho Vyttila Wellness Hospital,Vyttila,Kochi,Kerala,675957,No. 133  Vyttila Main Road  Kochi  Kerala - 675957,Joint Replacement,Operations Desk,9877449924,info.neuroorthovyttilawellnesshospital@arthomove-demo.com,Toes,INACTIVE,,,
32,SpinePlus Kakkanad Hospital,Kakkanad,Kochi,Kerala,637934,No. 38  Kakkanad Main Road  Kochi  Kerala - 637934,Shoulder & Knee Rehab,Admin Office,9136759164,info.spinepluskakkanadhospital@arthomove-demo.com,Elbows,ACTIVE,,,
33,MotionCare Tonk Road Hospital,Tonk Road,Jaipur,Rajasthan,676341,No. 206  Tonk Road Main Road  Jaipur  Rajasthan - 676341,Pediatric Orthopedics,Operations Desk,7074614337,info.motioncaretonkroadhospital@arthomove-demo.com,Finger,ACTIVE,,,
34,SpinePlus Porur Speciality Clinic,Porur,Chennai,Tamil Nadu,615145,No. 41  Porur Main Road  Chennai  Tamil Nadu - 615145,Shoulder & Knee Rehab,Care Coordinator,8085592562,info.spineplusporurspecialityclinic@arthomove-demo.com,Thumb,INACTIVE,,,
35,MotionCare Hadapsar Wellness Hospital,Hadapsar,Pune,Maharashtra,699638,No. 184  Hadapsar Main Road  Pune  Maharashtra - 699638,Spine Care,Care Coordinator,8886810253,info.motioncarehadapsarwellnesshospital@arthomove-demo.com,Torso,ACTIVE,,,
36,SpinePlus Velachery Hospital,Velachery,Chennai,Tamil Nadu,693076,No. 202  Velachery Main Road  Chennai  Tamil Nadu - 693076,Joint Replacement,Care Coordinator,7895217680,info.spineplusvelacheryhospital@arthomove-demo.com,Stroke,ACTIVE,,,
37,NeuroOrtho Singanallur Rehab Institute,Singanallur,Coimbatore,Tamil Nadu,625657,No. 18  Singanallur Main Road  Coimbatore  Tamil Nadu - 625657,Spine Care,Front Office,7445801976,info.neuroorthosinganallurrehabinstitute@arthomove-demo.com,Shoulder,ACTIVE,,,
38,CarePlus Powai Rehab Institute,Powai,Mumbai,Maharashtra,670774,No. 17  Powai Main Road  Mumbai  Maharashtra - 670774,Sports Rehabilitation,Admin Office,8453316495,info.carepluspowairehabinstitute@arthomove-demo.com,Neck,ACTIVE,,,
39,ARthoMove Saibaba Colony Healthcare Hub,Saibaba Colony,Coimbatore,Tamil Nadu,690080,No. 108  Saibaba Colony Main Road  Coimbatore  Tamil Nadu - 690080,Joint Replacement,Admin Office,9105639670,info.arthomovesaibabacolonyhealthcarehub@arthomove-demo.com,Back,ACTIVE,,,
40,CarePlus Anna Nagar Speciality Clinic,Anna Nagar,Chennai,Tamil Nadu,587886,No. 214  Anna Nagar Main Road  Chennai  Tamil Nadu - 587886,Joint Replacement,Care Coordinator,8454300178,info.careplusannanagarspecialityclinic@arthomove-demo.com,Ankle,ACTIVE,,,
41,MotionCare Singanallur Hospital,Singanallur,Coimbatore,Tamil Nadu,589707,No. 46  Singanallur Main Road  Coimbatore  Tamil Nadu - 589707,Neuro Rehabilitation,Care Coordinator,7758881185,info.motioncaresinganallurhospital@arthomove-demo.com,Knee,ACTIVE,,,
42,SpinePlus Bopal Healthcare Hub,Bopal,Ahmedabad,Gujarat,643944,No. 74  Bopal Main Road  Ahmedabad  Gujarat - 643944,Orthopedics,Operations Desk,9036348745,info.spineplusbopalhealthcarehub@arthomove-demo.com,Wrist,ACTIVE,,,
43,HealWell Powai Hospital,Powai,Mumbai,Maharashtra,625095,No. 109  Powai Main Road  Mumbai  Maharashtra - 625095,Pediatric Orthopedics,Care Coordinator,8614119101,info.healwellpowaihospital@arthomove-demo.com,Toes,ACTIVE,,,
44,ARthoMove Kukatpally Medical Center,Kukatpally,Hyderabad,Telangana,622877,No. 177  Kukatpally Main Road  Hyderabad  Telangana - 622877,Spine Care,Front Office,9000132789,info.arthomovekukatpallymedicalcenter@arthomove-demo.com,Elbows,INACTIVE,,,
45,HealWell Viman Nagar Wellness Hospital,Viman Nagar,Pune,Maharashtra,570880,No. 161  Viman Nagar Main Road  Pune  Maharashtra - 570880,Neuro Rehabilitation,Patient Care,9398638346,info.healwellvimannagarwellnesshospital@arthomove-demo.com,Finger,ACTIVE,,,
46,MotionCare Wakad Healthcare Hub,Wakad,Pune,Maharashtra,669476,No. 96  Wakad Main Road  Pune  Maharashtra - 669476,Neuro Rehabilitation,Care Coordinator,8331881567,info.motioncarewakadhealthcarehub@arthomove-demo.com,Thumb,ACTIVE,,,
47,NeuroOrtho RS Puram Wellness Hospital,RS Puram,Coimbatore,Tamil Nadu,669476,No. 194  RS Puram Main Road  Coimbatore  Tamil Nadu - 669476,Physiotherapy,Help Desk,9816254993,info.neuroorthorspuramwellnesshospital@arthomove-demo.com,Torso,ACTIVE,,,
48,NeuroOrtho Malviya Nagar Medical Center,Malviya Nagar,Jaipur,Rajasthan,642055,No. 106  Malviya Nagar Main Road  Jaipur  Rajasthan - 642055,Joint Replacement,Help Desk,7426469795,info.neuroorthomalviyanagarmedicalcenter@arthomove-demo.com,Stroke,ACTIVE,,,
49,NeuroOrtho Dwarka Speciality Clinic,Dwarka,Delhi,Delhi,687535,No. 95  Dwarka Main Road  Delhi  Delhi - 687535,Shoulder & Knee Rehab,Patient Care,7116700620,info.neuroorthodwarkaspecialityclinic@arthomove-demo.com,Shoulder,ACTIVE,,,
50,OrthoLife Bandra Rehab Institute,Bandra,Mumbai,Maharashtra,580348,No. 80  Bandra Main Road  Mumbai  Maharashtra - 580348,Sports Rehabilitation,Operations Desk,9718976217,info.ortholifebandrarehabinstitute@arthomove-demo.com,Neck,ACTIVE,,,
51,NeuroOrtho Rohini Wellness Hospital,Rohini,Delhi,Delhi,580428,No. 75  Rohini Main Road  Delhi  Delhi - 580428,Sports Rehabilitation,Operations Desk,7863484016,info.neuroorthorohiniwellnesshospital@arthomove-demo.com,Back,ACTIVE,,,
52,OrthoLife Porur Medical Center,Porur,Chennai,Tamil Nadu,634153,No. 25  Porur Main Road  Chennai  Tamil Nadu - 634153,Pediatric Orthopedics,Help Desk,9802844161,info.ortholifeporurmedicalcenter@arthomove-demo.com,Ankle,ACTIVE,,,
53,Prime Rehab Wakad Hospital,Wakad,Pune,Maharashtra,664757,No. 115  Wakad Main Road  Pune  Maharashtra - 664757,Orthopedics,Patient Care,7525019165,info.primerehabwakadhospital@arthomove-demo.com,Knee,ACTIVE,,,
54,SpinePlus Saket Hospital,Saket,Delhi,Delhi,670496,No. 146  Saket Main Road  Delhi  Delhi - 670496,Physiotherapy,Front Office,8166239352,info.spineplussakethospital@arthomove-demo.com,Wrist,ACTIVE,,,
55,ARthoMove Kothrud Medical Center,Kothrud,Pune,Maharashtra,687052,No. 48  Kothrud Main Road  Pune  Maharashtra - 687052,Sports Rehabilitation,Patient Care,9819339227,info.arthomovekothrudmedicalcenter@arthomove-demo.com,Toes,ACTIVE,,,
56,CarePlus Kothrud Speciality Clinic,Kothrud,Pune,Maharashtra,641856,No. 216  Kothrud Main Road  Pune  Maharashtra - 641856,Post-Surgery Rehabilitation,Admin Office,9389252914,info.carepluskothrudspecialityclinic@arthomove-demo.com,Elbows,ACTIVE,,,
57,MotionCare Vyttila Medical Center,Vyttila,Kochi,Kerala,692080,No. 86  Vyttila Main Road  Kochi  Kerala - 692080,Neuro Rehabilitation,Operations Desk,9519728558,info.motioncarevyttilamedicalcenter@arthomove-demo.com,Finger,ACTIVE,,,
58,ApolloCare Prahlad Nagar Wellness Hospital,Prahlad Nagar,Ahmedabad,Gujarat,613420,No. 247  Prahlad Nagar Main Road  Ahmedabad  Gujarat - 613420,Neuro Rehabilitation,Front Office,9951333169,info.apollocareprahladnagarwellnesshospital@arthomove-demo.com,Thumb,ACTIVE,,,
59,SpinePlus Janakpuri Wellness Hospital,Janakpuri,Delhi,Delhi,618914,No. 171  Janakpuri Main Road  Delhi  Delhi - 618914,Orthopedics,Care Coordinator,8207961990,info.spineplusjanakpuriwellnesshospital@arthomove-demo.com,Torso,ACTIVE,,,
60,MotionCare Navi Mumbai Speciality Clinic,Navi Mumbai,Mumbai,Maharashtra,674816,No. 184  Navi Mumbai Main Road  Mumbai  Maharashtra - 674816,Post-Surgery Rehabilitation,Admin Office,9325496607,info.motioncarenavimumbaispecialityclinic@arthomove-demo.com,Stroke,ACTIVE,,,
61,HealWell Satellite Medical Center,Satellite,Ahmedabad,Gujarat,591248,No. 196  Satellite Main Road  Ahmedabad  Gujarat - 591248,Spine Care,Patient Care,9628358805,info.healwellsatellitemedicalcenter@arthomove-demo.com,Shoulder,ACTIVE,,,
62,SpinePlus Hinjewadi Rehab Institute,Hinjewadi,Pune,Maharashtra,636507,No. 161  Hinjewadi Main Road  Pune  Maharashtra - 636507,Physiotherapy,Operations Desk,8883921143,info.spineplushinjewadirehabinstitute@arthomove-demo.com,Neck,ACTIVE,,,
63,SpinePlus Tambaram Healthcare Hub,Tambaram,Chennai,Tamil Nadu,615749,No. 166  Tambaram Main Road  Chennai  Tamil Nadu - 615749,Shoulder & Knee Rehab,Care Coordinator,7129044282,info.spineplustambaramhealthcarehub@arthomove-demo.com,Back,ACTIVE,,,
64,HealWell Edappally Speciality Clinic,Edappally,Kochi,Kerala,597147,No. 35  Edappally Main Road  Kochi  Kerala - 597147,Pain Management,Patient Care,9512516280,info.healwelledappallyspecialityclinic@arthomove-demo.com,Ankle,ACTIVE,,,
65,NeuroOrtho Navi Mumbai Wellness Hospital,Navi Mumbai,Mumbai,Maharashtra,598084,No. 182  Navi Mumbai Main Road  Mumbai  Maharashtra - 598084,Orthopedics,Patient Care,7846740724,info.neuroorthonavimumbaiwellnesshospital@arthomove-demo.com,Knee,ACTIVE,,,
66,NeuroOrtho RS Puram Hospital,RS Puram,Coimbatore,Tamil Nadu,637014,No. 245  RS Puram Main Road  Coimbatore  Tamil Nadu - 637014,Neuro Rehabilitation,Care Coordinator,9562333831,info.neuroorthorspuramhospital@arthomove-demo.com,Wrist,ACTIVE,,,
67,HealWell Kakkanad Rehab Institute,Kakkanad,Kochi,Kerala,647098,No. 144  Kakkanad Main Road  Kochi  Kerala - 647098,Orthopedics,Help Desk,9503721930,info.healwellkakkanadrehabinstitute@arthomove-demo.com,Toes,ACTIVE,,,
68,Medicare C Scheme Hospital,C Scheme,Jaipur,Rajasthan,616106,No. 198  C Scheme Main Road  Jaipur  Rajasthan - 616106,Physiotherapy,Front Office,9272216317,info.medicarecschemehospital@arthomove-demo.com,Elbows,ACTIVE,,,
69,SpinePlus Bandra Rehab Institute,Bandra,Mumbai,Maharashtra,598028,No. 45  Bandra Main Road  Mumbai  Maharashtra - 598028,Neuro Rehabilitation,Care Coordinator,7384332133,info.spineplusbandrarehabinstitute@arthomove-demo.com,Finger,ACTIVE,,,
70,Prime Rehab Aluva Speciality Clinic,Aluva,Kochi,Kerala,658552,No. 129  Aluva Main Road  Kochi  Kerala - 658552,Neuro Rehabilitation,Help Desk,7670619750,info.primerehabaluvaspecialityclinic@arthomove-demo.com,Thumb,INACTIVE,,,
71,MotionCare Karol Bagh Rehab Institute,Karol Bagh,Delhi,Delhi,681805,No. 30  Karol Bagh Main Road  Delhi  Delhi - 681805,Sports Rehabilitation,Admin Office,8924445076,info.motioncarekarolbaghrehabinstitute@arthomove-demo.com,Torso,ACTIVE,,,
72,ApolloCare Banjara Hills Rehab Institute,Banjara Hills,Hyderabad,Telangana,658503,No. 17  Banjara Hills Main Road  Hyderabad  Telangana - 658503,Neuro Rehabilitation,Help Desk,7166415099,info.apollocarebanjarahillsrehabinstitute@arthomove-demo.com,Stroke,ACTIVE,,,
73,HealWell Gachibowli Wellness Hospital,Gachibowli,Hyderabad,Telangana,609909,No. 92  Gachibowli Main Road  Hyderabad  Telangana - 609909,Neuro Rehabilitation,Patient Care,8824768258,info.healwellgachibowliwellnesshospital@arthomove-demo.com,Shoulder,ACTIVE,,,
74,MotionCare Navi Mumbai Rehab Institute,Navi Mumbai,Mumbai,Maharashtra,619577,No. 243  Navi Mumbai Main Road  Mumbai  Maharashtra - 619577,Post-Surgery Rehabilitation,Operations Desk,9286131883,info.motioncarenavimumbairehabinstitute@arthomove-demo.com,Neck,ACTIVE,,,
75,ApolloCare Wakad Hospital,Wakad,Pune,Maharashtra,691593,No. 218  Wakad Main Road  Pune  Maharashtra - 691593,Post-Surgery Rehabilitation,Admin Office,9681278889,info.apollocarewakadhospital@arthomove-demo.com,Back,INACTIVE,,,
76,ApolloCare Borivali Medical Center,Borivali,Mumbai,Maharashtra,582610,No. 154  Borivali Main Road  Mumbai  Maharashtra - 582610,Physiotherapy,Operations Desk,7605690436,info.apollocareborivalimedicalcenter@arthomove-demo.com,Ankle,ACTIVE,,,
77,OrthoLife Vyttila Hospital,Vyttila,Kochi,Kerala,619936,No. 41  Vyttila Main Road  Kochi  Kerala - 619936,Spine Care,Patient Care,7127414055,info.ortholifevyttilahospital@arthomove-demo.com,Knee,ACTIVE,,,
78,Prime Rehab Baner Speciality Clinic,Baner,Pune,Maharashtra,698820,No. 119  Baner Main Road  Pune  Maharashtra - 698820,Neuro Rehabilitation,Front Office,8365556059,info.primerehabbanerspecialityclinic@arthomove-demo.com,Wrist,ACTIVE,,,
79,Prime Rehab Mansarovar Hospital,Mansarovar,Jaipur,Rajasthan,571449,No. 134  Mansarovar Main Road  Jaipur  Rajasthan - 571449,Joint Replacement,Patient Care,9825812027,info.primerehabmansarovarhospital@arthomove-demo.com,Toes,ACTIVE,,,
80,ApolloCare Tambaram Speciality Clinic,Tambaram,Chennai,Tamil Nadu,600290,No. 2  Tambaram Main Road  Chennai  Tamil Nadu - 600290,Joint Replacement,Care Coordinator,8656701629,info.apollocaretambaramspecialityclinic@arthomove-demo.com,Elbows,ACTIVE,,,
81,CarePlus HSR Layout Healthcare Hub,HSR Layout,Bengaluru,Karnataka,596591,No. 71  HSR Layout Main Road  Bengaluru  Karnataka - 596591,Neuro Rehabilitation,Admin Office,8173723423,info.careplushsrlayouthealthcarehub@arthomove-demo.com,Finger,ACTIVE,,,
82,ARthoMove Edappally Wellness Hospital,Edappally,Kochi,Kerala,665505,No. 219  Edappally Main Road  Kochi  Kerala - 665505,Pain Management,Care Coordinator,7258366824,info.arthomoveedappallywellnesshospital@arthomove-demo.com,Thumb,ACTIVE,,,
83,ARthoMove Gandhipuram Wellness Hospital,Gandhipuram,Coimbatore,Tamil Nadu,625341,No. 213  Gandhipuram Main Road  Coimbatore  Tamil Nadu - 625341,Neuro Rehabilitation,Patient Care,8074713143,info.arthomovegandhipuramwellnesshospital@arthomove-demo.com,Torso,ACTIVE,,,
84,OrthoLife Hebbal Wellness Hospital,Hebbal,Bengaluru,Karnataka,622559,No. 78  Hebbal Main Road  Bengaluru  Karnataka - 622559,Neuro Rehabilitation,Front Office,8591532763,info.ortholifehebbalwellnesshospital@arthomove-demo.com,Stroke,INACTIVE,,,
85,ApolloCare Ameerpet Healthcare Hub,Ameerpet,Hyderabad,Telangana,637160,No. 38  Ameerpet Main Road  Hyderabad  Telangana - 637160,Spine Care,Admin Office,8520826075,info.apollocareameerpethealthcarehub@arthomove-demo.com,Shoulder,ACTIVE,,,
86,NeuroOrtho RS Puram Hospital,RS Puram,Coimbatore,Tamil Nadu,593132,No. 187  RS Puram Main Road  Coimbatore  Tamil Nadu - 593132,Sports Rehabilitation,Care Coordinator,7133278091,info.neuroorthorspuramhospital@arthomove-demo.com,Neck,ACTIVE,,,
87,ARthoMove Yelahanka Wellness Hospital,Yelahanka,Bengaluru,Karnataka,652051,No. 80  Yelahanka Main Road  Bengaluru  Karnataka - 652051,Pain Management,Admin Office,8613961107,info.arthomoveyelahankawellnesshospital@arthomove-demo.com,Back,ACTIVE,,,
88,CarePlus Anna Nagar Speciality Clinic,Anna Nagar,Chennai,Tamil Nadu,694720,No. 1  Anna Nagar Main Road  Chennai  Tamil Nadu - 694720,Shoulder & Knee Rehab,Care Coordinator,7133034902,info.careplusannanagarspecialityclinic@arthomove-demo.com,Ankle,ACTIVE,,,
89,OrthoLife Prahlad Nagar Hospital,Prahlad Nagar,Ahmedabad,Gujarat,666305,No. 225  Prahlad Nagar Main Road  Ahmedabad  Gujarat - 666305,Neuro Rehabilitation,Operations Desk,8198888663,info.ortholifeprahladnagarhospital@arthomove-demo.com,Knee,ACTIVE,,,
90,Medicare OMR Healthcare Hub,OMR,Chennai,Tamil Nadu,561533,No. 99  OMR Main Road  Chennai  Tamil Nadu - 561533,Joint Replacement,Admin Office,7188422478,info.medicareomrhealthcarehub@arthomove-demo.com,Wrist,ACTIVE,,,
91,ARthoMove Indiranagar Healthcare Hub,Indiranagar,Bengaluru,Karnataka,679604,No. 239  Indiranagar Main Road  Bengaluru  Karnataka - 679604,Pediatric Orthopedics,Help Desk,7238554768,info.arthomoveindiranagarhealthcarehub@arthomove-demo.com,Toes,INACTIVE,,,
92,OrthoLife Secunderabad Healthcare Hub,Secunderabad,Hyderabad,Telangana,632249,No. 163  Secunderabad Main Road  Hyderabad  Telangana - 632249,Pediatric Orthopedics,Front Office,7279346290,info.ortholifesecunderabadhealthcarehub@arthomove-demo.com,Elbows,ACTIVE,,,
93,NeuroOrtho Hadapsar Wellness Hospital,Hadapsar,Pune,Maharashtra,582221,No. 88  Hadapsar Main Road  Pune  Maharashtra - 582221,Orthopedics,Admin Office,7793215440,info.neuroorthohadapsarwellnesshospital@arthomove-demo.com,Finger,ACTIVE,,,
94,Medicare Mansarovar Healthcare Hub,Mansarovar,Jaipur,Rajasthan,666285,No. 228  Mansarovar Main Road  Jaipur  Rajasthan - 666285,Joint Replacement,Admin Office,7789402667,info.medicaremansarovarhealthcarehub@arthomove-demo.com,Thumb,ACTIVE,,,
95,SpinePlus Navi Mumbai Wellness Hospital,Navi Mumbai,Mumbai,Maharashtra,643888,No. 248  Navi Mumbai Main Road  Mumbai  Maharashtra - 643888,Pediatric Orthopedics,Help Desk,7295916039,info.spineplusnavimumbaiwellnesshospital@arthomove-demo.com,Torso,ACTIVE,,,
96,ApolloCare RS Puram Hospital,RS Puram,Coimbatore,Tamil Nadu,659609,No. 65  RS Puram Main Road  Coimbatore  Tamil Nadu - 659609,Joint Replacement,Patient Care,9479761857,info.apollocarerspuramhospital@arthomove-demo.com,Stroke,ACTIVE,,,
97,ARthoMove Saibaba Colony Medical Center,Saibaba Colony,Coimbatore,Tamil Nadu,683994,No. 11  Saibaba Colony Main Road  Coimbatore  Tamil Nadu - 683994,Physiotherapy,Operations Desk,8111277613,info.arthomovesaibabacolonymedicalcenter@arthomove-demo.com,Shoulder,INACTIVE,,,
98,Prime Rehab Vaishali Nagar Hospital,Vaishali Nagar,Jaipur,Rajasthan,679071,No. 25  Vaishali Nagar Main Road  Jaipur  Rajasthan - 679071,Neuro Rehabilitation,Operations Desk,9872542907,info.primerehabvaishalinagarhospital@arthomove-demo.com,Neck,ACTIVE,,,
99,OrthoLife Kothrud Wellness Hospital,Kothrud,Pune,Maharashtra,591177,No. 219  Kothrud Main Road  Pune  Maharashtra - 591177,Spine Care,Patient Care,8653652053,info.ortholifekothrudwellnesshospital@arthomove-demo.com,Back,ACTIVE,,,
